,Lat,Lng,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Rural,Marital_Married,Marital_Separated,Marital_NeverMarried,Marital_Divorced,Gender_Female,Gender_Nonbinary,Contract_Oneyear,Contract_TwoYear,InternetService_DSL,InternetService_None,PaymentMethod_BankTransferautomatic,PaymentMethod_MailedCheck,PaymentMethod_ElectronicCheck
1,44.32893,-84.2408,10446,1,27,21704.77,11.69907956,12,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,45.35589,-123.24656999999999,3735,4,50,9609.57,10.75280028,9,0,1,1,1,0,1,1,0,0,0,0,0,1,1,15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
3,32.96687,-117.24798,13863,1,48,18925.23,14.91353964,15,2,0,1,0,0,1,0,1,0,0,0,1,0,1,17.08722662,119.95683999999999,2164.579412,4,4,4,2,5,4,3,3,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,29.38012,-95.80673,11352,0,83,40074.19,8.147416533,16,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1.6709717259999999,149.948316,271.49343619999996,4,4,4,3,4,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,32.57032,-83.8904,17701,3,83,22660.2,8.420992898,15,3,1,0,1,0,1,1,1,1,1,0,0,1,0,7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
6,36.4342,-84.27892,2535,0,79,11467.5,11.18272453,10,0,1,1,0,0,1,0,0,0,0,1,1,1,0,13.23677381,200.118516,1907.2429719999998,6,5,6,4,1,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,35.43313,-97.52463,23144,2,30,26759.64,7.791632265,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
9,39.19296,-84.4523,20193,1,86,50231.4,8.707823904,18,1,0,0,1,0,1,0,1,0,1,0,0,1,1,3.4220861389999997,162.48269399999998,508.7637913,2,2,2,2,5,2,3,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
12,41.37287,-91.36865,556,0,83,83671.08,8.273875452,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,13.01149229,137.439154,1196.3880179999999,1,2,1,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
13,44.432559999999995,-70.11501,0,5,29,115114.57,5.880565591,14,1,0,0,1,1,1,1,1,0,0,1,1,0,1,16.87922024,184.97151599999998,1948.694497,5,6,5,2,4,5,4,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
14,41.86752,-87.90222,8165,1,30,64256.81,11.79073041,10,3,0,0,0,0,0,1,0,1,0,1,0,0,1,10.06019902,159.96558100000001,1582.295235,3,3,4,2,3,4,4,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
